imdbID,Title,Year,Rating
0457939,The Holiday,2006,3.0
0417741,Harry Potter and the Half-Blood Prince,2009,2.5
1262426,Wicked,2024,3.0
12004038,Watcher,2024,3.0
26736843,The Watchers,2024,2.5
9764362,The Menu,2022,4.0
5672290,The First Omen,2024,2.5
17526714,The Substance,2024,3.5
7798634,Ready or Not,2019,3.0
10288566,Another Round,2020,4.0
2194499,About Time,2013,3.0
0104431,Home Alone 2: Lost in New York,1992,3.0
6166392,Wonka,2023,2.5
27131358,We Live in Time,2024,3.0
30057084,Babygirl,2024,3.5
0425112,Hot Fuzz,2007,5.0
1148204,Orphan,2009,3.0
0137523,Fight Club,1999,4.0
16277242,Society of the Snow,2023,4.0
28015403,Heretic,2024,4.0
1022603,(500) Days of Summer,2009,3.0
4116284,The Lego Batman Movie,2017,3.0
8110652,Bodies Bodies Bodies,2022,2.5
0251127,How to Lose a Guy in 10 Days,2003,2.5
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,4.5
0816692,Interstellar,2014,3.0
0335266,Lost in Translation,2003,4.5
0080339,Airplane!,1980,4.0
5040012,Nosferatu,2024,4.5
1517268,Barbie,2023,3.5
1570728,"Crazy, Stupid, Love.",2011,3.0
8760708,M3GAN,2022,2.5
0465538,Michael Clayton,2007,4.0
4846340,Hidden Figures,2016,3.5
4016934,The Handmaiden,2016,4.5
2085910,Room 237,2012,3.0
26584495,Companion,2025,3.0
0337741,Something's Gotta Give,2003,3.5
1285016,The Social Network,2010,5.0
32149847,Drop,2025,2.5
0317919,Mission: Impossible III,2006,3.0
0172495,Gladiator,2000,4.5
5774060,Underwater,2020,1.5
1229238,Mission: Impossible - Ghost Protocol,2011,3.5
2381249,Mission: Impossible - Rogue Nation,2015,4.0
4912910,Mission: Impossible - Fallout,2018,4.0
9603208,Mission: Impossible - The Final Reckoning,2025,3
0414387,Pride & Prejudice,2005,3.5
0079116,Escape from Alcatraz,1979,4.0
12299608,Mickey 17,2025,3.0
0245429,Spirited Away,2001,4.0
2428170,Creep,2014,3.5
27403986,Juror #2,2024,3.0
0104257,A Few Good Men,1992,5.0
0120382,The Truman Show,1998,4.5
1591095,Insidious,2010,3.5
0357413,Anchorman: The Legend of Ron Burgundy,2004,4.0
7711170,Alone,2020,2.5
16311594,F1,2025,3.5
0120663,Eyes Wide Shut,1999,4.0
11320192,The Evil Next Door,2020,2.5
0120082,Scream 2,1997,3.0
26753003,Trap,2024,3.0
1736633,"Oslo, August 31st",2011,4.0
1631867,Edge of Tomorrow,2014,3.5
0134084,Scream 3,2000,2.5
0448134,Sunshine,2007,3.5
1262416,Scream 4,2011,2.5
4589218,Five Nights at Freddy's,2023,1.0
0388795,Brokeback Mountain,2005,4.5
17663992,Scream VI,2023,2.0
0206634,Children of Men,2006,4.5
