imdbID,Title,Year
0145487,Spider-Man,2002
7653254,Marriage Story,2019
0371746,Iron Man,2008
0107290,Jurassic Park,1993
0114709,Toy Story,1995
1211837,Doctor Strange,2016
0443706,Zodiac,2007
3498820,Captain America: Civil War,2016
0167260,The Lord of the Rings: The Return of the King,2003
0317705,The Incredibles,2004
0327597,Coraline,2009
0126029,Shrek,2001
0078748,Alien,1979
1345836,The Dark Knight Rises,2012
0099785,Home Alone,1990
2488496,Star Wars: Episode VII - The Force Awakens,2015
16277242,Society of the Snow,2023
4116284,The Lego Batman Movie,2017
0840361,The Town,2010
14230458,Poor Things,2023
26047818,Anyone But You,2023
0137523,Fight Club,1999
0435761,Toy Story 3,2010
3606756,Incredibles 2,2018
0317219,Cars,2006
0120363,Toy Story 2,1999
0266543,Finding Nemo,2003
5537002,Killers of the Flower Moon,2023
0107048,Groundhog Day,1993
0327056,Mystic River,2003
9071322,Dark Waters,2019
0134119,The Talented Mr. Ripley,1999
9639470,Last Night in Soho,2021
0421715,The Curious Case of Benjamin Button,2008
1051906,The Invisible Man,2020
0167261,The Lord of the Rings: The Two Towers,2002
0316654,Spider-Man 2,2004
0372784,Batman Begins,2005
0330373,Harry Potter and the Goblet of Fire,2005
1843866,Captain America: The Winter Soldier,2014
1951264,The Hunger Games: Catching Fire,2013
4263482,The Witch,2015
0295297,Harry Potter and the Chamber of Secrets,2002
0482571,The Prestige,2006
1727824,Bohemian Rhapsody,2018
0110357,The Lion King,1994
1201607,Harry Potter and the Deathly Hallows: Part 2,2011
0086190,Star Wars: Episode VI - Return of the Jedi,1983
2395427,Avengers: Age of Ultron,2015
0121766,Star Wars: Episode III - Revenge of the Sith,2005
0470752,Ex Machina,2014
0407887,The Departed,2006
0073195,Jaws,1975
3659388,The Martian,2015
0373889,Harry Potter and the Order of the Phoenix,2007
2527336,Star Wars: Episode VIII - The Last Jedi,2017
0398286,Tangled,2010
2953050,Encanto,2021
4972582,Split,2016
4154664,Captain Marvel,2019
3783958,La La Land,2016
1041829,The Proposal,2009
0195685,Erin Brockovich,2000
0458352,The Devil Wears Prada,2006
3748528,Rogue One,2016
0417741,Harry Potter and the Half-Blood Prince,2009
0298148,Shrek 2,2004
0926084,Harry Potter and the Deathly Hallows: Part 1,2010
0795421,Mamma Mia!,2008
0478970,Ant-Man,2015
7349662,BlacKkKlansman,2018
3315342,Logan,2017
0084787,The Thing,1982
0458339,Captain America: The First Avenger,2011
0120815,Saving Private Ryan,1998
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003
0948470,The Amazing Spider-Man,2012
0120915,Star Wars: Episode I - The Phantom Menace,1999
10370710,The Worst Person in the World,2021
0082971,Raiders of the Lost Ark,1981
2527338,Star Wars: Episode IX - The Rise of Skywalker,2019
2948356,Zootopia,2016
1300854,Iron Man 3,2013
1386697,Suicide Squad,2016
0121765,Star Wars: Episode II - Attack of the Clones,2002
0800369,Thor,2011
1228705,Iron Man 2,2010
3521164,Moana,2016
0077651,Halloween,1978
0172495,Gladiator,2000
0413300,Spider-Man 3,2007
2802144,Kingsman: The Secret Service,2014
2294629,Frozen,2013
1136617,The Killer,2023
1951265,The Hunger Games: Mockingjay - Part 1,2014
1457767,The Conjuring,2013
1016150,All Quiet on the Western Front,2022
0365748,Shaun of the Dead,2004
1119646,The Hangover,2009
0250494,Legally Blonde,2001
0240772,Ocean's Eleven,2001
0451279,Wonder Woman,2017
1517451,A Star Is Born,2018
0070047,The Exorcist,1973
0167404,The Sixth Sense,1999
2798920,Annihilation,2018
1596363,The Big Short,2015
0097814,Kiki's Delivery Service,1989
2084970,The Imitation Game,2014
1270797,Venom,2018
0113277,Heat,1995
1951266,The Hunger Games: Mockingjay - Part 2,2015
